marca,categoria,canal,precio,costo,margen,margen_pct,competencia,demanda,tendencia,estacionalidad,rating_conexion,comentario,sentiment_score,conexion_score,conexion_alta,ventas_unidades,ventas_ingresos,utilidad,score_latente,exito
CrunchMax,cereal,retail,100.6,69.05,31.55,31.36,6,61,55,baja,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,8197,824618.2,258615.35,18.34,0
CornCrisp,cereal,retail,71.99,35.79,36.2,50.28,5,65,67,baja,7,Es un cereal promedio,0,54.0,0,11646,838395.54,421585.2,34.57,1
ChocoBoom,cereal,retail,82.75,50.73,32.02,38.69,9,73,56,media,7,"Está bien, cumple",0,54.0,0,10285,851083.75,329325.7,-0.04,0
ChocoBoom,cereal,retail,76.56,41.17,35.39,46.23,9,84,65,media,8,Me identifico con la propuesta saludable,1,76.0,1,15164,1160955.84,536653.96,30.76,1
CornCrisp,cereal,retail,61.78,39.06,22.72,36.78,7,71,70,baja,7,Lo compraría solo en promoción,0,54.0,0,12866,794861.48,292315.52,11.32,0
FiberPlus,cereal,retail,129.72,88.96,40.76,31.42,9,67,72,media,5,Es un cereal promedio,0,40.0,0,5166,670133.52,210566.16,-7.74,0
FiberPlus,cereal,marketplace,108.02,74.89,33.13,30.67,8,73,82,alta,8,Se siente premium y de buena calidad,1,76.0,1,9831,1061944.62,325701.03,29.84,1
CornCrisp,cereal,retail,68.93,36.98,31.95,46.35,7,69,53,media,6,"Está bien, cumple",0,47.0,0,11095,764778.35,354485.25,24.86,1
VitalMix,cereal,retail,113.94,55.61,58.33,51.19,4,63,81,baja,5,"Nada extraordinario, pero ok",0,40.0,0,7300,831762.0,425809.0,25.37,1
HoneyOats,cereal,retail,88.38,57.53,30.85,34.91,8,77,57,alta,7,"Nada extraordinario, pero ok",0,54.0,0,11311,999666.18,348944.35,29.89,1
CerealNova,cereal,retail,112.59,54.01,58.58,52.03,5,63,43,media,6,"Nada extraordinario, pero ok",0,47.0,0,6521,734199.39,382000.18,27.91,1
FitMorning,cereal,retail,102.6,65.19,37.41,36.46,7,79,65,alta,9,Gran relación calidad-precio,1,83.0,1,13757,1411468.2,514649.37,29.31,1
ChocoBoom,cereal,retail,88.59,55.33,33.26,37.54,7,68,39,baja,7,Es un cereal promedio,0,54.0,0,8299,735208.41,276024.74,7.89,0
CrunchMax,cereal,marketplace,73.9,41.15,32.75,44.32,5,60,54,baja,5,"Está bien, cumple",0,40.0,0,7412,547746.8,242743.0,20.79,1
HoneyOats,cereal,retail,81.0,38.21,42.79,52.83,6,80,46,media,6,Podría mejorar el sabor,0,47.0,0,11542,934902.0,493882.18,26.47,1
CornCrisp,cereal,retail,89.49,52.67,36.82,41.14,5,69,40,media,5,Lo compraría solo en promoción,0,40.0,0,8125,727106.25,299162.5,20.04,1
VitalMix,cereal,retail,91.01,61.43,29.58,32.5,6,79,68,alta,6,"Está bien, cumple",0,47.0,0,13321,1212344.21,394035.18,21.64,1
CrunchMax,cereal,retail,140.9,84.85,56.05,39.78,7,44,24,media,4,No me convence el producto,-1,18.0,0,2320,326888.0,130036.0,-21.84,0
FitMorning,cereal,retail,119.7,58.84,60.86,50.84,8,58,65,media,6,"Está bien, cumple",0,47.0,0,5660,677502.0,344467.6,4.22,0
GoldenGrain,cereal,retail,87.88,53.21,34.67,39.45,5,72,64,media,7,"Nada extraordinario, pero ok",0,54.0,0,12799,1124776.12,443741.33,34.24,1
FitMorning,cereal,marketplace,130.76,89.98,40.78,31.19,6,58,86,media,6,Lo compraría solo en promoción,0,47.0,0,5066,662430.16,206591.48,20.95,1
VitalMix,cereal,marketplace,111.04,59.19,51.85,46.69,9,76,65,media,6,"Nada extraordinario, pero ok",0,47.0,0,6318,701550.72,327588.3,9.1,0
KidsStar,cereal,retail,70.54,40.52,30.02,42.56,6,87,44,media,7,"Está bien, cumple",0,54.0,0,16024,1130332.96,481040.48,26.13,1
FitMorning,cereal,retail,125.8,87.4,38.4,30.52,5,67,97,media,9,Gran relación calidad-precio,1,83.0,1,9549,1201264.2,366681.6,41.3,1
CornCrisp,cereal,marketplace,75.58,45.6,29.98,39.67,9,79,41,media,6,"Nada extraordinario, pero ok",0,47.0,0,7884,595872.72,236362.32,-9.61,0
FiberPlus,cereal,retail,97.72,64.19,33.53,34.31,6,81,47,alta,4,No me gustó el sabor,-1,18.0,0,8970,876548.4,300764.1,22.06,1
CerealNova,cereal,retail,120.25,65.7,54.55,45.36,5,64,21,alta,5,Podría mejorar el sabor,0,40.0,0,5469,657647.25,298333.95,33.02,1
HoneyOats,cereal,marketplace,80.66,52.85,27.81,34.48,7,82,61,media,6,Lo compraría solo en promoción,0,47.0,0,9569,771835.54,266113.89,3.88,0
FiberPlus,cereal,retail,78.46,49.63,28.83,36.74,5,78,71,alta,7,Es un cereal promedio,0,54.0,0,17434,1367871.64,502622.22,46.18,1
VitalMix,cereal,marketplace,120.46,74.07,46.39,38.51,5,60,69,baja,6,Lo compraría solo en promoción,0,47.0,0,5730,690235.8,265814.7,18.78,0
KidsStar,cereal,retail,56.28,30.82,25.46,45.24,7,82,72,media,8,Me encanta el sabor y la textura,1,76.0,1,20256,1140007.68,515717.76,46.12,1
CerealNova,cereal,retail,68.95,31.3,37.65,54.6,8,79,52,media,5,"Nada extraordinario, pero ok",0,40.0,0,12036,829882.2,453155.4,14.25,0
KidsStar,cereal,retail,70.48,42.12,28.36,40.24,7,76,32,media,6,"Está bien, cumple",0,47.0,0,11916,839839.68,337937.76,9.93,0
GoldenGrain,cereal,marketplace,109.57,80.56,29.01,26.48,5,75,50,media,7,Podría mejorar el sabor,0,54.0,0,8098,887297.86,234922.98,22.01,1
ChocoBoom,cereal,retail,89.78,51.65,38.13,42.47,7,78,47,alta,8,Me identifico con la propuesta saludable,1,76.0,1,13730,1232679.4,523524.9,27.6,1
ChocoBoom,cereal,retail,60.6,31.78,28.82,47.56,7,78,61,media,7,Lo compraría solo en promoción,0,54.0,0,16195,981417.0,466739.9,24.67,1
CerealNova,cereal,retail,83.53,53.37,30.16,36.11,8,77,69,media,8,Gran relación calidad-precio,1,76.0,1,13404,1119636.12,404264.64,28.3,1
ChocoBoom,cereal,retail,71.72,36.43,35.29,49.21,6,86,78,media,9,"Me gusta mucho esta marca, la volvería a comprar",1,83.0,1,21453,1538609.16,757076.37,51.43,1
CrunchMax,cereal,retail,62.83,40.52,22.31,35.51,7,81,61,baja,8,Me identifico con la propuesta saludable,1,76.0,1,16391,1029846.53,365683.21,29.05,1
GoldenGrain,cereal,marketplace,115.41,70.88,44.53,38.58,7,61,71,media,5,"Está bien, cumple",0,40.0,0,5649,651951.09,251549.97,10.94,0
CerealNova,cereal,marketplace,80.81,57.63,23.18,28.68,7,73,58,media,6,"Está bien, cumple",0,47.0,0,8833,713794.73,204748.94,15.04,0
CrunchMax,cereal,retail,83.21,45.09,38.12,45.81,7,74,58,media,4,No me gustó el sabor,-1,18.0,0,8345,694387.45,318111.4,13.53,0
CerealNova,cereal,retail,62.48,41.88,20.6,32.97,6,84,54,media,7,"Está bien, cumple",0,54.0,0,17312,1081653.76,356627.2,38.27,1
FitMorning,cereal,retail,129.63,67.96,61.67,47.57,8,65,66,alta,7,Lo compraría solo en promoción,0,54.0,0,6349,823020.87,391542.83,13.97,0
FitMorning,cereal,retail,113.74,54.78,58.96,51.84,4,76,65,media,9,Gran relación calidad-precio,1,83.0,1,11980,1362605.2,706340.8,54.56,1
CerealNova,cereal,retail,90.83,47.16,43.67,48.08,6,78,41,alta,4,No me convence el producto,-1,18.0,0,8737,793581.71,381544.79,7.9,0
ChocoBoom,cereal,retail,82.22,50.09,32.13,39.08,8,65,69,media,8,Gran relación calidad-precio,1,76.0,1,11962,983515.64,384339.06,15.49,0
FitMorning,cereal,retail,108.69,74.34,34.35,31.6,7,81,62,alta,6,Podría mejorar el sabor,0,47.0,0,10051,1092443.19,345251.85,21.35,1
FitMorning,cereal,retail,92.84,53.79,39.05,42.06,6,77,61,media,7,"Nada extraordinario, pero ok",0,54.0,0,11878,1102753.52,463835.9,29.63,1
GoldenGrain,cereal,retail,130.28,75.04,55.24,42.4,8,71,65,alta,8,Me identifico con la propuesta saludable,1,76.0,1,8312,1082887.36,459154.88,25.16,1
CornCrisp,cereal,marketplace,99.74,50.12,49.62,49.75,8,75,49,media,5,Lo compraría solo en promoción,0,40.0,0,5973,595747.02,296380.26,3.48,0
HoneyOats,cereal,retail,66.9,31.62,35.28,52.74,9,72,70,media,6,Podría mejorar el sabor,0,47.0,0,12016,803870.4,423924.48,12.55,0
KidsStar,cereal,retail,91.49,57.29,34.2,37.38,7,54,26,baja,7,Podría mejorar el sabor,0,54.0,0,5473,500724.77,187176.6,1.5,0
HoneyOats,cereal,marketplace,72.73,41.64,31.09,42.75,7,83,57,alta,5,"Está bien, cumple",0,40.0,0,11723,852613.79,364468.07,32.54,1
KidsStar,cereal,retail,85.73,38.98,46.75,54.53,10,93,45,alta,7,"Nada extraordinario, pero ok",0,54.0,0,12435,1066052.55,581336.25,3.99,0
CornCrisp,cereal,retail,92.14,52.09,40.05,43.47,7,53,46,alta,7,"Está bien, cumple",0,54.0,0,7527,693537.78,301456.35,17.58,0
KidsStar,cereal,marketplace,73.6,36.91,36.69,49.85,7,74,75,baja,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,11958,880108.8,438739.02,29.81,1
CerealNova,cereal,retail,78.33,37.29,41.04,52.39,8,75,26,media,5,"Nada extraordinario, pero ok",0,40.0,0,8602,673794.66,353026.08,16.65,0
FitMorning,cereal,retail,108.11,54.05,54.06,50.0,6,68,78,media,7,"Está bien, cumple",0,54.0,0,9393,1015477.23,507785.58,26.41,1
HoneyOats,cereal,retail,72.17,46.52,25.65,35.54,5,65,66,baja,7,Lo compraría solo en promoción,0,54.0,0,11807,852111.19,302849.55,32.54,1
CrunchMax,cereal,retail,95.35,51.37,43.98,46.12,6,65,60,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,9900,943965.0,435402.0,33.3,1
HoneyOats,cereal,retail,84.66,46.2,38.46,45.43,6,56,75,baja,6,"Nada extraordinario, pero ok",0,47.0,0,7951,673131.66,305795.46,24.82,1
CrunchMax,cereal,retail,98.49,60.21,38.28,38.87,9,88,60,alta,9,Se siente premium y de buena calidad,1,83.0,1,13411,1320849.39,513373.08,29.23,1
GoldenGrain,cereal,marketplace,133.45,69.14,64.31,48.19,6,66,39,media,5,"Está bien, cumple",0,40.0,0,4690,625880.5,301613.9,9.0,0
FiberPlus,cereal,marketplace,111.7,69.77,41.93,37.54,7,79,46,alta,7,Es un cereal promedio,0,54.0,0,8068,901195.6,338291.24,9.68,0
CrunchMax,cereal,marketplace,61.06,30.6,30.46,49.89,8,74,65,media,4,No conecté con la marca,-1,18.0,0,7936,484572.16,241730.56,6.87,0
HoneyOats,cereal,retail,102.19,46.0,56.19,54.99,10,71,44,media,8,Se siente premium y de buena calidad,1,76.0,1,7770,794016.3,436596.3,5.15,0
FitMorning,cereal,marketplace,89.11,61.2,27.91,31.32,7,72,88,media,6,"Está bien, cumple",0,47.0,0,9626,857772.86,268661.66,17.46,0
FitMorning,cereal,retail,97.8,65.38,32.42,33.15,7,86,60,alta,6,"Nada extraordinario, pero ok",0,47.0,0,12022,1175751.6,389753.24,29.5,1
VitalMix,cereal,retail,82.14,39.4,42.74,52.03,8,51,77,baja,7,Lo compraría solo en promoción,0,54.0,0,8351,685951.14,356921.74,8.73,0
FitMorning,cereal,marketplace,81.76,55.6,26.16,32.0,6,82,43,baja,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,11183,914322.08,292547.28,26.36,1
CrunchMax,cereal,retail,90.74,63.16,27.58,30.39,5,74,73,media,8,Me identifico con la propuesta saludable,1,76.0,1,13644,1238056.56,376301.52,43.9,1
ChocoBoom,cereal,retail,107.39,63.86,43.53,40.53,6,69,51,media,7,Lo compraría solo en promoción,0,54.0,0,7872,845374.08,342668.16,20.81,1
FiberPlus,cereal,marketplace,104.53,68.87,35.66,34.11,5,66,61,media,5,Lo compraría solo en promoción,0,40.0,0,6662,696378.86,237566.92,19.58,0
FiberPlus,cereal,retail,110.79,76.45,34.34,31.0,7,67,67,media,5,Es un cereal promedio,0,40.0,0,7160,793256.4,245874.4,7.36,0
GoldenGrain,cereal,marketplace,101.21,52.42,48.79,48.21,7,69,68,media,9,Me encanta el sabor y la textura,1,83.0,1,9226,933763.46,450136.54,36.3,1
CerealNova,cereal,marketplace,71.93,46.57,25.36,35.26,6,83,67,baja,8,Me identifico con la propuesta saludable,1,76.0,1,13196,949188.28,334650.56,36.82,1
FiberPlus,cereal,retail,66.74,42.11,24.63,36.9,7,79,76,alta,7,"Nada extraordinario, pero ok",0,54.0,0,19072,1272865.28,469743.36,35.33,1
FiberPlus,cereal,marketplace,144.78,97.09,47.69,32.94,8,56,44,media,5,Es un cereal promedio,0,40.0,0,3370,487908.6,160715.3,-4.32,0
CerealNova,cereal,retail,77.0,44.35,32.65,42.4,5,83,61,media,6,Es un cereal promedio,0,47.0,0,14667,1129359.0,478877.55,36.02,1
VitalMix,cereal,marketplace,86.33,42.95,43.38,50.25,6,80,43,alta,5,Podría mejorar el sabor,0,40.0,0,9936,857774.88,431023.68,24.66,1
CerealNova,cereal,retail,90.73,47.63,43.1,47.5,10,88,59,alta,6,Es un cereal promedio,0,47.0,0,10851,984511.23,467678.1,29.29,1
CornCrisp,cereal,marketplace,121.99,82.02,39.97,32.76,7,70,64,baja,9,Se siente premium y de buena calidad,1,83.0,1,6370,777076.3,254608.9,19.42,0
FiberPlus,cereal,retail,148.75,98.62,50.13,33.7,10,42,51,baja,6,Lo compraría solo en promoción,0,47.0,0,1999,297351.25,100209.87,-20.84,0
CornCrisp,cereal,retail,77.79,41.21,36.58,47.02,9,83,70,media,8,Me encanta el sabor y la textura,1,76.0,1,14279,1110763.41,522325.82,23.01,1
CrunchMax,cereal,retail,94.47,65.05,29.42,31.14,6,73,49,baja,7,Lo compraría solo en promoción,0,54.0,0,8788,830202.36,258542.96,18.02,0
ChocoBoom,cereal,retail,101.04,66.49,34.55,34.19,7,80,53,baja,6,"Nada extraordinario, pero ok",0,47.0,0,8551,863993.04,295437.05,3.2,0
CrunchMax,cereal,marketplace,70.73,44.31,26.42,37.35,10,84,51,media,6,"Nada extraordinario, pero ok",0,47.0,0,8756,619311.88,231333.52,8.33,0
HoneyOats,cereal,retail,84.82,58.5,26.32,31.03,6,87,66,media,7,"Nada extraordinario, pero ok",0,54.0,0,13860,1175605.2,364795.2,33.0,1
ChocoBoom,cereal,marketplace,89.29,51.38,37.91,42.46,6,85,64,alta,6,"Nada extraordinario, pero ok",0,47.0,0,11376,1015763.04,431264.16,42.93,1
FiberPlus,cereal,retail,113.43,63.51,49.92,44.01,3,79,61,alta,6,Podría mejorar el sabor,0,47.0,0,10988,1246368.84,548520.96,51.78,1
HoneyOats,cereal,marketplace,73.14,42.44,30.7,41.97,7,74,49,media,7,Es un cereal promedio,0,54.0,0,9592,701558.88,294474.4,13.94,0
FitMorning,cereal,retail,137.37,83.35,54.02,39.32,7,56,67,media,6,Es un cereal promedio,0,47.0,0,4585,629841.45,247681.7,11.95,0
CornCrisp,cereal,retail,87.64,51.34,36.3,41.42,7,75,40,media,6,"Está bien, cumple",0,47.0,0,9184,804885.76,333379.2,18.67,0
KidsStar,cereal,retail,90.05,55.35,34.7,38.53,9,96,66,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,14975,1348498.75,519632.5,17.22,0
CerealNova,cereal,retail,84.3,48.87,35.43,42.03,7,79,60,alta,8,Se siente premium y de buena calidad,1,76.0,1,15198,1281191.4,538465.14,47.96,1
KidsStar,cereal,retail,116.31,70.48,45.83,39.4,9,71,82,baja,5,Es un cereal promedio,0,40.0,0,5945,691462.95,272459.35,-3.46,0
CerealNova,cereal,marketplace,94.14,43.65,50.49,53.63,8,74,56,media,5,Es un cereal promedio,0,40.0,0,6949,654178.86,350855.01,12.0,0
VitalMix,cereal,retail,128.5,87.3,41.2,32.06,9,53,52,baja,4,No conecté con la marca,-1,18.0,0,3059,393081.5,126030.8,-22.39,0
CerealNova,cereal,retail,80.12,55.55,24.57,30.67,4,81,50,media,5,Podría mejorar el sabor,0,40.0,0,13465,1078815.8,330835.05,39.0,1
KidsStar,cereal,marketplace,73.17,48.03,25.14,34.36,8,88,56,media,6,"Está bien, cumple",0,47.0,0,10647,779040.99,267665.58,17.29,0
HoneyOats,cereal,retail,75.97,40.72,35.25,46.4,7,67,57,media,7,"Nada extraordinario, pero ok",0,54.0,0,11329,860664.13,399347.25,26.5,1
CerealNova,cereal,retail,84.05,43.36,40.69,48.41,7,66,56,media,8,Se siente premium y de buena calidad,1,76.0,1,11351,954051.55,461872.19,30.12,1
GoldenGrain,cereal,retail,100.06,55.03,45.03,45.0,7,83,80,alta,6,Es un cereal promedio,0,47.0,0,13011,1301880.66,585885.33,41.46,1
FiberPlus,cereal,marketplace,84.75,47.56,37.19,43.88,5,78,63,alta,6,"Está bien, cumple",0,47.0,0,11527,976913.25,428689.13,30.39,1
VitalMix,cereal,marketplace,99.64,69.17,30.47,30.58,8,53,49,baja,8,Se siente premium y de buena calidad,1,76.0,1,5745,572431.8,175050.15,-5.06,0
CornCrisp,cereal,retail,79.57,36.08,43.49,54.66,7,76,32,alta,4,Me pareció caro para lo que ofrece,-1,18.0,0,8501,676424.57,369708.49,7.11,0
CerealNova,cereal,retail,75.31,45.95,29.36,38.99,6,78,62,media,8,Me encanta el sabor y la textura,1,76.0,1,16325,1229435.75,479302.0,41.5,1
CerealNova,cereal,retail,80.63,43.02,37.61,46.65,7,68,45,media,5,Es un cereal promedio,0,40.0,0,8751,705593.13,329125.11,7.14,0
FiberPlus,cereal,retail,115.02,68.22,46.8,40.69,8,61,66,baja,7,"Está bien, cumple",0,54.0,0,6177,710478.54,289083.6,-0.5,0
CrunchMax,cereal,retail,77.82,37.67,40.15,51.59,10,70,42,baja,9,Gran relación calidad-precio,1,83.0,1,9722,756566.04,390338.3,10.15,0
KidsStar,cereal,marketplace,84.55,52.43,32.12,37.99,9,73,72,media,6,Lo compraría solo en promoción,0,47.0,0,8236,696353.8,264540.32,9.82,0
CornCrisp,cereal,retail,86.02,58.51,27.51,31.98,7,72,49,media,8,Se siente premium y de buena calidad,1,76.0,1,11103,955080.06,305443.53,24.83,1
CrunchMax,cereal,marketplace,50.61,28.15,22.46,44.38,5,71,32,media,7,Podría mejorar el sabor,0,54.0,0,11093,561416.73,249148.78,32.7,1
ChocoBoom,cereal,retail,52.06,32.11,19.95,38.32,7,87,39,alta,9,Gran relación calidad-precio,1,83.0,1,21366,1112313.96,426251.7,44.12,1
FitMorning,cereal,retail,112.28,53.19,59.09,52.63,9,66,64,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,7859,882408.52,464388.31,10.01,0
HoneyOats,cereal,marketplace,98.02,66.74,31.28,31.91,4,93,69,alta,5,"Está bien, cumple",0,40.0,0,12012,1177416.24,375735.36,43.43,1
ChocoBoom,cereal,retail,85.76,54.6,31.16,36.33,8,88,72,alta,7,Lo compraría solo en promoción,0,54.0,0,15188,1302522.88,473258.08,28.68,1
FitMorning,cereal,retail,107.21,66.92,40.29,37.58,6,72,57,alta,6,Es un cereal promedio,0,47.0,0,9604,1029644.84,386945.16,29.14,1
ChocoBoom,cereal,retail,77.47,36.46,41.01,52.94,7,81,51,alta,4,Me pareció caro para lo que ofrece,-1,18.0,0,10869,842021.43,445737.69,21.99,1
GoldenGrain,cereal,marketplace,76.41,45.98,30.43,39.82,6,63,63,media,9,Me encanta el sabor y la textura,1,83.0,1,11995,916537.95,365007.85,37.84,1
CornCrisp,cereal,retail,103.43,61.52,41.91,40.52,8,75,82,media,8,Gran relación calidad-precio,1,76.0,1,10325,1067914.75,432720.75,18.02,0
CrunchMax,cereal,marketplace,88.59,56.57,32.02,36.14,8,80,56,media,6,Es un cereal promedio,0,47.0,0,8270,732639.3,264805.4,15.02,0
FiberPlus,cereal,marketplace,102.04,58.61,43.43,42.56,8,62,69,media,7,Podría mejorar el sabor,0,54.0,0,6625,676015.0,287723.75,5.92,0
CornCrisp,cereal,retail,51.6,23.31,28.29,54.83,8,76,36,baja,5,Podría mejorar el sabor,0,40.0,0,10511,542367.6,297356.19,3.31,0
CerealNova,cereal,marketplace,116.44,71.14,45.3,38.9,6,53,67,baja,6,Lo compraría solo en promoción,0,47.0,0,4162,484623.28,188538.6,13.26,0
VitalMix,cereal,retail,146.42,100.55,45.87,31.33,8,56,65,media,9,Me encanta el sabor y la textura,1,83.0,1,4729,692420.18,216919.23,7.26,0
ChocoBoom,cereal,retail,95.58,49.96,45.62,47.73,10,70,61,media,6,"Está bien, cumple",0,47.0,0,7398,707100.84,337496.76,-1.97,0
ChocoBoom,cereal,marketplace,67.53,45.52,22.01,32.59,6,77,58,media,9,Se siente premium y de buena calidad,1,83.0,1,13957,942516.21,307193.57,38.49,1
ChocoBoom,cereal,retail,86.87,43.14,43.73,50.34,8,77,65,media,6,"Está bien, cumple",0,47.0,0,10629,923341.23,464806.17,18.87,0
FitMorning,cereal,marketplace,122.12,81.41,40.71,33.34,6,71,53,media,7,"Está bien, cumple",0,54.0,0,6535,798054.2,266039.85,22.41,1
CrunchMax,cereal,retail,77.2,47.23,29.97,38.82,6,86,65,alta,7,"Nada extraordinario, pero ok",0,54.0,0,16803,1297191.6,503585.91,39.98,1
CrunchMax,cereal,retail,78.55,41.45,37.1,47.23,10,82,53,alta,7,Lo compraría solo en promoción,0,54.0,0,11759,923669.45,436258.9,18.96,0
VitalMix,cereal,retail,136.34,67.36,68.98,50.59,9,44,57,media,4,No me gustó el sabor,-1,18.0,0,2467,336350.78,170173.66,-21.3,0
FiberPlus,cereal,marketplace,88.38,49.97,38.41,43.46,9,78,94,media,7,"Nada extraordinario, pero ok",0,54.0,0,10100,892638.0,387941.0,20.1,1
FitMorning,cereal,retail,123.22,66.79,56.43,45.8,6,77,56,media,4,No lo volvería a comprar,-1,18.0,0,6302,776532.44,355621.86,13.05,0
FiberPlus,cereal,marketplace,58.61,39.07,19.54,33.34,5,75,46,media,6,"Está bien, cumple",0,47.0,0,12289,720258.29,240127.06,36.91,1
FiberPlus,cereal,retail,97.37,47.26,50.11,51.46,4,63,68,media,5,"Nada extraordinario, pero ok",0,40.0,0,9028,879056.36,452393.08,30.44,1
CornCrisp,cereal,retail,76.57,41.63,34.94,45.63,9,76,51,baja,6,"Nada extraordinario, pero ok",0,47.0,0,9100,696787.0,317954.0,2.56,0
VitalMix,cereal,retail,86.81,55.28,31.53,36.32,6,73,48,media,7,Podría mejorar el sabor,0,54.0,0,11195,971837.95,352978.35,34.94,1
FiberPlus,cereal,retail,90.33,62.26,28.07,31.07,9,84,47,media,6,Lo compraría solo en promoción,0,47.0,0,10129,914952.57,284321.03,0.47,0
ChocoBoom,cereal,marketplace,82.81,45.83,36.98,44.66,6,86,68,alta,8,Se siente premium y de buena calidad,1,76.0,1,15491,1282809.71,572857.18,47.25,1
ChocoBoom,cereal,retail,75.34,37.98,37.36,49.59,8,73,69,media,6,Lo compraría solo en promoción,0,47.0,0,12226,921106.84,456763.36,16.07,0
KidsStar,cereal,retail,93.88,48.8,45.08,48.02,6,85,60,alta,7,"Nada extraordinario, pero ok",0,54.0,0,13687,1284935.56,617009.96,46.68,1
FitMorning,cereal,retail,127.21,86.8,40.41,31.77,6,68,77,alta,5,Lo compraría solo en promoción,0,40.0,0,7098,902936.58,286830.18,31.03,1
GoldenGrain,cereal,retail,132.0,78.41,53.59,40.6,4,71,63,media,9,Se siente premium y de buena calidad,1,83.0,1,8765,1156980.0,469716.35,42.19,1
CornCrisp,cereal,retail,89.7,40.78,48.92,54.54,7,96,71,media,8,"Me gusta mucho esta marca, la volvería a comprar",1,76.0,1,15690,1407393.0,767554.8,45.91,1
CornCrisp,cereal,retail,86.27,44.43,41.84,48.5,7,69,51,media,5,Podría mejorar el sabor,0,40.0,0,8345,719923.15,349154.8,12.2,0
